score,title,username,date,review,label
10.0,Brilliant rebranding idea,fernandhaguedes,26 July 2023,"With a production by Mattel it self it's an amazing marketing idea to invite, the critical young thinkers of this generation, to the brand. With lots of self criticism, the movie give other vision about the atual demand of what the Barbie doll always should be.The movie jokes with the patriarch world we live and also shows a subtil criticism over it with the ""other side"". Almost like - Equilibrium should win this battle.Jokes about the masculinity and the critics themselves, showing a child who critic the old Barbie fans at the same time as she itself is a ""Barbie"" of the new era.At the same time brings us, the main public (early 90s under) all the nostalgic memories of playing dolls. That should be soft but people are always trying to be something else.Great deal.",Barbie
10.0,"Masterpiece, if you understand what you are in for",riveradisaac,24 July 2023,"Going into watching oppenheimer many people felt disappointed because of the court scenes. This is the story of OPPENHEIMER. Not the story behind the a bomb or the manhattan project. Yes that plays a huge part into the life and story of oppenheimer but so does everything that happened after which dramatically effected his life.Nolan takes this and makes it into the most interesting and most spectacle viewing experience i have had in a while in the theatre.The score ..... OMG this score is something other worldly, stands levels above that of inception and interstellar and that is a veryyyyy BIG STATEMENT TO MAKE. But there were times where i felt an atomic bomb to the chest. And having scenes where i was on my toes .Like i said its a masterpiece. Top 3 Nolan film .",Oppenheimer
10.0,Movie of the year,dombernetti,21 July 2023,This movie was a pure display of art. Every scene was extremely impactful and suspenseful. It was a long movie but you were intensely driven in the whole time. Cillian Murphy truly captured the character and showing the human side/ moral dilemmas of a man that believe that he gave the world the power to destroy itself was amazing. It showed showed a very real and what felt like very true side to a life alter event that happened in your history and you could feel every bit of that impact in the audience as these decisions were being made. The acting was great for all characters and the ability to give what felt like back stage passes to one of the biggest events in the past century was amazing. It puts very recent events and current events in perspective and gives the audience a lot to talk about and discuss. Well done.,Oppenheimer
10.0,Nolan did it again,AVAndrea-,21 July 2023,"I'm glad i saw another Nolan film in the theatre. The amazing soundtrack, beautiful cinematography, outstanding performances... it's a masterpiece that tells the story of a necessary evilonce again, Cillian reminds us that he's one of the goats. Matt Damon is exceptional; the fleeting appearances of Gary Oldman and Casey Affleck don't leave anyone indifferent, and RDJ... in those last twenty minutes he shows that this is the best acting he has ever done in his lifethe Trinity test is one of the best sequences i've ever seen in a movie. Nolan is truly one of the greatest filmmakers of the modern cinema.",Oppenheimer
8.0,Incredibly fun & easily profound,barragart,24 July 2023,"I went to see the movie with the feeling it was being hyped to much and with not so high expectations, -even though I admire Greta Gerwig a lot- but not even fifteen minutes into the movie I was already laughing and crying and hooked. It is definitely one of the funniest I've seen in at least 2 years, it has a simple storyline that works exactly as it suppose to without trying to be something else. The message is powerful and easy to understand, I found it refreshing and truthful, sometimes it may feel even a bit naive, but in the end it is what it is and I appreciated that. The performances are really delightful and full of small nuances that make them easy to connect with, even though the tone is satiric and farcical. Great movie, a lot more than I expected.",Barbie
4.0,Barbenheimer! Decent comedy handled with a sledgehammer,otaku-90710,21 July 2023,"Saw this kind of late on 07/21 after Oppenheimer. As expected the movie looks great, Barbieland is a crazy set, shot well and all actors are committed.Was a bit disappointed with Gosling but could just be the writing/direction for him. Margot Robbie and America Ferrara shine the most, and to a lesser extent Gosling, Kate McKinnon and Will Ferrell (those last two are smaller side characters).Some issues with pacing or maybe the movie should've shorter, and the music wasn't all that memorable surprisingly. I would've like more songs or better yet for this whole movie to be a musical!My biggest gripe is the writing. It is painfully heavy handed, preachy and full of cringe. This is because the evil patriarchy and righteous feminism is ramped up to 100.I honestly kept checking my watch, was looking at uber's home with like 30-40min left, and struggling so hard not to walk out (i never do, always stay to the end no matter what!) or fall asleep. Maybe it was partly because I had just gotten out of the 3hr Oppenheimer (which I had a strong coffee during) but this was one of the toughest movies I had to sit through in a theater in a very long time.I think most, but still probably not all, women will enjoy it, but for the fellas? Unless you're a self described male feminist or far-left politically, or maybe just a simp, your mileage is really going to vary and this may not be for you.I like Greta Gerwig and the cast but this was a big miss and let down for me. Messaging aside, I struggle to give this higher than a 5, maybe a 6 at the absolute best, wouldn't give it lower than a 3. So I'm going with 4/10.",Barbie
8.0,It's a Cristopher Nolan film,mrshawdy33,29 July 2023,"Let me start by saying that I enjoyed this movie.All in all, after 3 hours, I felt like my time had been spent well watching a well-crafted, visually and emotionally compelling biography about Robert Oppenheimer.It was good. If you like film, go see it in a theater (in IMAX if possible)However, it is a Christopher Nolan film.Meaning.... A lot of characters to keep track of, longer run time, lots and lots of dialogue, etc.This is not the kind of movie you would turn on in the background while dozing off scrolling on instagram.This movie, you have to stay attentive to the details, dialogue, and the story.BUT, because of this hyper-focused nature of the movie, you truly start to feel the story and emotions behind Oppenheimer, and begin to understand the complex nature of Nolan's story telling. I'd say it's worth the extra focus.Personally, I'd set this as slightly better than Tenet, but not to the lengths of Inception.Go see it :)",Oppenheimer
8.0,Oppenheimer - A Fast Paced History Movie (with an extreme long runtime),CutlasSaber,25 July 2023,"I've honestly never been a huge fan of Christopher Nolan, and I will admit that I haven't seen a lot of his more popular movies (with the exception of The Dark Knight trilogy). From what I know about Nolan's work is how unique the editing is in his films, and you can kinda tell from the odd editing choices, specifically when Oppenheimer would hallucinate. While I do see how that kind of style can better develop Oppenheimer's character by visually showing us how he is feeling, I can see how this can be bothersome to some people. Personally, I really enjoyed it.I will say that this movie is really fast paced despite its three hour run time, and with that being said, it can be hard to follow at times. I'll admit that there were some scenes that just shove information down the audiences throat, and as someone who has ADHD it took me a while to catch up to what was happening in the story, and it doesn't help that Nolan likes to skip through time numerous times throughout the film (but then again, it did help that they had a balanced mixture of black and white scenes and colored scenes.While I do think this film is fast paced, I think the story did take that pace away from me with how the story was told. To clarify, there seemed to have been a climatic ending halfway into the film, but instead of ending, more consistencies rise and thus, more conflict needs to be resolved. Usually I hate when movies do this, but I oddly enjoyed the final act a lot more than the ""climax"" in the middle of the film.What people need to understand about this film is that it isn't about the bomb, well, it is, but most of the movie focuses on Oppenheimer's life leading up to him making the bomb, and the aftermath of what his creation has done after America bombed Japan. I thought they really told a great story here, and Oppenheimer, as well as many other characters in this film were written very well.Most of the film consists on talking, so if you're ere expecting a full-blown war movie, don't have that in your mind at all when you walk into this film. I recommend this to any history movie-goers, as it's pretty informative about Oppenheimer's life leading up to the creation of the bomb that practically ended World War II.",Oppenheimer
1.0,Profundity Sold Seperately,craigfish-86029,19 July 2023,"It's a Barbie movie. It is as saccharine as Treacle and as empty as Barbie's head. A pink spectacle, and much like the doll, you can try to attach some accessories or throw on a doctor's coat or any array of add-ons you want. However, at the end of the day, it's a cheap children's toy, that any sane adult should ignore or only look upon as some bitter-sweet memento of a childhood that they will never regain.Throughout the build-up to the release of this film, I was led to believe that behind the gloss there was a deeper meaning to it. Greta Gerwig is regarded as an auteur, and the script was said to be too good to pass up. In the end, the message was too shallow to be impactful, the story too 'meta' to be taken seriously, and the dialogue as stiff as the plastic that Barbie is cast from for it to be any good. At least we know who the Real Barbie is for, but when I left the theatre I had no idea who the film is for or what it was really trying to say. It's not exactly a kids' film. It's not an intelligent art house film. It's not a summer action-packed blockbuster, it's not an interesting take on modern-day feminism, nor does it provide any sort of interesting commentary on any social or political issue. It is just a boring pink distraction.",Barbie
7.0,She's Everything. He's Just Ken.,UnderTheScene,23 July 2023,"Greta Gerwig's ""Barbie"" is a stunning piece of cinema when it comes to costume and set design which blew me away with. Also had good songs and catchy musical numbers but was not as good as expected. With a film being called ""Barbie"" Margot Robbie was great as usual, but Ryan Gosling's Ken was the one who absolutely stole the show with it being his funniest role to date. Now the first 10-15 minutes were rough to get through for myself with the introduction to Barbie world, which is understandable considering what it is. But then even leading into the ""Real-World"" part of the film some of it still had the cheesy bits that I didn't like. From that point on though I did end up enjoying most of the film and the performances from everyone on screen. Overall, the good moments outweigh the bad ones and it ending up being a good fun/comedy film.",Barbie
7.0,I finally understood Nolan films,kuarinofu,29 July 2023,"I had anticipated a more straightforward, character-driven study of the man who helped to develop the atomic bomb, but instead, I was met with a 3-hour long summer blockbuster and a possibility of hearing loss.Thinking about this, I feel guilty for not understanding Nolan's summer films since I've seen all of them except Memento. Now it is clearer that this (Oppenheimer) is exactly what I should've expected, but for some reason, I didn't.So now, understanding that I went to see it with a wrong impression or a misunderstanding of the director's style, I'll give my two cents on this one.The film's editing was particularly problematic. The director is known for his use of quick cuts and jarring transitions, but in Oppenheimer, this style felt overused and gratuitous. The film's many plot threads were constantly being cut away from, making it difficult to follow the narrative up until the very end. Not much complaining can be done after Tenet and Dunkirk, but again, I expected something different for a bio-drama.The sound mixing was also poor, with the dialogue often being drowned out by the music. This was especially frustrating during the film's tensest moments when I was desperate to hear what the characters were saying. Again, this was my IMAX experience. Maybe yours will be different.Another problem is that there's just too much story. Oppenheimer wasn't a short film by no means, the creators wanted to make a deep dive into the political and historical background of some of the major characters, and there were so many of them. I don't think making this a solo film was a good idea, but a Chornobyl-style mini-series - would've worked great. They had so many good actors, but they were forced to fly through the scenes on an airplane bomber since they were limited by the runtime.Despite these flaws, there were many redeeming qualities to Oppenheimer. The film's performances were all excellent, much so I cannot single out a particular one. The film's visuals were also stunning, with Nolan's trademark use of IMAX cinematography creating some truly awe-inspiring images. The soundtrack was plain gorgeous, and very memorable. Too bad that it was mixed into scenes where it shouldn't have been, and it also had some weird cuts, almost like clipping, ruining the tone. Like it was artificially cloned and stretched. Maybe I'm making this up.Ultimately, Oppenheimer is a film that is both ambitious and flawed. It is a film that attempts to grapple with the weighty subject matter of the atomic bomb, but it ultimately fails to do so satisfyingly for me. I would recommend watching the film at home, where you can adjust the volume and take breaks as needed.P. S. I also want to thank the creators for finally giving me an understanding of what to expect, and saving me from later disappointments.",Oppenheimer
8.0,Let's go Barbie! And Ken is a Ten,mohnomachado,25 July 2023,"I may not have played with Barbie dolls and fairly no interest in this from a subject standpoint, but I have to say this movie rocks. Margot Robbie is awesome, Gerwig's direction is solid, the writing is well thought out, the colors pop, and let's not forget how amazing Ryan Gosling is in this. His Ken will go down in history as one of his best roles, calling it now. I do wish there were things that were more utilized in the film, especially Venice Beach as a location. It felt really shoe horned into the plot. Also some of the side characters just really didn't need to be there. But overall, this picture really works because it's messaging about the hardships of the modern woman is spot on. Also I liked how they actually critiqued Mattel at times for making a doll with insane beauty standards for young children. I'm definitely looking forward to see where Gerwig takes her career after this because this is truly a box office and critical smash that can lead to some interesting projects in the future.",Barbie
3.0,"Wonderfull setup, with a not so wonderfully excecuted message",nenasarec,22 July 2023,"The production and the costume design is absolutely wonderful, same goes to the most of the cast. With beautiful attention to detial, uncluding actual cars and houses that we played with.But the message of ""patriarchy is bad"" seemed to be shoved down your throat too aggressively, with the whole thing seeming a bit misguided and hateful toward men, and i dont believe in battling hate with hate. Dont understand me wrong i am a woman in engineering (world dominated by men), but the concept of feminism is not men vs women and what most feminists strive for is not matriarchal, which the barbie word is. Pinning us against each other is not helpful, as we should work together to reach equality, one cannot work without the other. What could be a wonderful message turned confusing and too strong in my taste.",Barbie
8.0,"I'm a Barbie girl, in a Barbie world...",agnieszkacieslakmatfiz,19 July 2023,"While not seeing previous Greta Gerwig's movies might have been a mistake on my side, starting exploring her filmography with Barbie (2023) was surely quite an interesting choice. Honestly, I was a little scared and worried about finally seeing this film - after so much hype on Twitter and other social media it would be disappointing finding out that the movie is not a 10/10 masterpiece. Eventually, I decided that no matter how bad (or good) Barbie actually is, at least I will have the pleasure of seeing Ryan Gosling's astonishing face (and body) on the big screen. The first few scenes of the film absolutely captivated me with their doll-like, plastic pink aesthetic, showing Barbieland as a perfect, colorful paradise. I have to admit though, once our two main characters travelled to the real world, things got a little cheesy. Of course I didn't expect Barbie to be deep or dramatic, but for me it fell into the family toys-come-to-life movie cliche a little bit too much. However, I really liked the comedious aspect of the film, all the references to history of the Barbie doll and others. I might as well say that Barbie became my new comfort movie, something to watch with your best buds, or even a loved one.",Barbie
3.0,Overrated barbie,ametin-86250,24 July 2023,"It's like a women's solidarity movie. It was a production in which all men were shown as 2nd class and this was done through a good cast and a well-established company. It's a totally overrated PR movie. Despite all this, the acting was successful. However, the movie did not meet my expectations. Ryan gosling and margot ronbbie are both good actors, but this scenario limited both of their abilities. In my opinion, product placement and advertisements were also over exaggerated. It was like the longest commercial I've ever seen in my life. I can say that I counted the minutes, especially for the last half hour of the movie to end, it was not a movie worth all this expectation.",Barbie
6.0,It's alright,captainsermig,21 July 2023,"""If you brought a 7 year old girl to see this movie she would neither have fun nor be happy at all"" And this was my girlfriend's statement as soon as we left the cinema.I see it as an ok movie, occasionally very entertaining but overall chaotic, a bit cliché and even boring at times.Solid 6/10, i've seen worse but pales in comparison to The Lego Movie and other ""nostalgic intellectual property movies"" such as Mario Bros, which can contain deep messages without ruining the whole thing as I feel Barbie did.I have to give credit to the numerous exhilarating scenes with the Kens and the CEO, stereotyping done right IMHO.",Barbie
10.0,If it went on for another 3 hours I'd of gladly watched,anotherdankavanagh,25 July 2023,"Go see it in Imax and the slight increased ticket price is worthy of your money, it's a visual and audible feast, good value entertainment is hard to come by these days and this delivers. I'd dissuade anyone from going just for the explosion this is a biopic based around a key point in Oppenheimer's life, not just building a bomb. After reading some reviews I thought it'd be challenging to keep up with a few timelines but it was a breeze, the pace although on the fast side makes for compelling storytelling. The score and sound are perfect and exactly what you'd expect from Imax, the well placed/timed loudness adds to the experience and makes this a well constructed immersive look into the life of a controversial historical figure. Just on my way to binge all Nolan's movies now.",Oppenheimer
10.0,Maybe Nolans best work,axelbergsand,30 July 2023,"Oppenheimer is based on a real story but that story is so well produced in the movie that it almost feel like a sci-fi. One characteristic that Nolan movies usually have is that they are high paced and really pulls you right in. His movies are usually very long but they don't feel like they are when they are exciting the entire time, and how he managed to pull it off in a 3 hour long real story is really why this should be considered a masterpiece.I have now watched almost every Nolan movie from Memento to Oppenheimer and I can without doubt say that its one of his best. Of course he's a great SCI-FI director but this is different just like Dunkirk was before and it makes you wonder what genre he'll do next because his storytelling is on another level.A Director is nothing without his crew and I want to point out how well the casting of this movie is. You could argue that he's lucky to have this many great actors working for him but to pick an actor like Robert Downey Jr for this role really shows you how well Nolan and his casting director knows about actors considering that he has mostly played heroes in movies. Cillian Murphy is probably doing one of the greatest acts in movie history and he should win the Oscar no doubt. It wouldn't surprise me if Robert Downey Jr gets one too for best supporting act but his screen time might be just slightly too limited.",Oppenheimer
9.0,"Barbie is Fantastic. It's everything you like to see, feel and enjoy while watching a movie",pgovindarajangovindarajan,24 July 2023,"Barbie is fun, hilarious, emotional, musical, thought provoking, full of fantasy, sometimes over the top. It transfers us to whole new magical world and you will enjoy every single second of it while makes us relate to ourselves and our real world problems, emotions and situations. Filled with powerful performances and soundtracks. A instant classy, Must Watch. Margot Robbie owns the role Barbie. She lives the character. Ryan as Ken is so great. He does really steals the show sometimes. All the others supporting characters and human characters are so good and fun too.Barbie movie really respects it's roots and pays a beautiful tribute to all Barbie dolls and it's creators.",Barbie
4.0,Extremely OVER HYPED,celebsentourage,23 July 2023,"Definitely not understanding why this movie was over hyped. What age demographic is this movie for exactly? It's not a movie for little kids. Maybe pre teen girls? And I can't understand how they wouldn't be bored with this film. It's music every couple of mins and everything is way over the top. Actors were great but the script isn't entertaining at all. Honestly the trailer was more fun than the movie. My kids were bored and wanted to leave before the end. But after we made it through the first half of the movie, we might as well suck it up until the end. All in all, an amazing cast and set, but it falls short in actually entertaining the audience.",Barbie
10.0,Cinematic masterpiece,jjqqhnqhg,19 July 2023,"Nolan is back and delivers a fast paced thrilling biopic that will leave you stunned.the cinematography, sound design, score all exceptional. Every acting performance is perfect with Cillian Murphy and Robert Downey JR standing out. Nolan is experimenting with new styles of surrealist and subjective filmmaking to him which is so incredible to see from such a seasoned writer and director. He's pushing the envelope with Oppenheimer and challenging the audience like never before.Nolan's character study merges a thematically resonant story with a breathtaking soundscape & epic visuals. The IMAX experience for this one is a must.You will need to stay focused because the film moves very quickly with sharp snappy dialogue.",Oppenheimer
10.0,It's special.,pranam-bhavani,27 July 2023,"I left the theatre in awe of this film. The story is so compelling and expressed the duality of creating a weapon that can save and destroy masterfully. The performances are sublime, Cillian Murphy will rightfully collect plaudits from everyone for a stunning performance as the titular character but RDJ and notably Emily Blunt deliver some breathtaking performances that I am amazed by.Christopher Nolan shows every bit of his genius when it comes to film making, the cinematography is flawless and he picks his moments with sound and visual effects perfectly. They all serve a purpose contributing to the storytelling and the epic cinematic moments in this film.This film is undoubtedly and unequivocally a must see and a contender for Nolan's best work.",Oppenheimer
10.0,10/10,cthqzmw,20 July 2023,The best movie in 2023 fo sure the movie deserves a oscar award it was fantastic i loved everything about the movie and the story i loved the movie you must watch it The best movie in 2023 fo sure the movie deserves a oscar award it was fantastic i loved everything about the movie and the story i loved the movie you must watch it The best movie in 2023 fo sure the movie deserves a oscar award it was fantastic i loved everything about the movie and the story i loved the movie you must watch it The best movie in 2023 fo sure the movie deserves a oscar award it was fantastic i loved everything about the movie and the story i loved the movie you must watch it.,Oppenheimer
9.0,Very fun movie!,christinalishal,22 July 2023,"This movie was everything that was expected of it. It was funny, feministic, cute, beautiful and everything plastic. It was probably expected by many that the movie would be very superficial and focus more on the fun side of barbie, but it surprised us. This movie took a deep dive into what it is to be a girl and a woman in today's society and in the patriarchal world we live in today. It also brought into daylight the problematic history surrounding the plastic doll with many humorous elements. The only thing that brought this film down from a 10/10 was that it was everything we expected, and was missing a surprising plot twist. All in all I really recommend to watch this movie, it was a wonderful experience in the cinema!",Barbie
5.0,Half-baked script with an impressive budget,cincinnatihannah,23 July 2023,"This movie LOOKED amazing. The costumes, sets, editing, and choreography were all high-budget and high-quality. That's probably why the poor writing stuck out like a sore thumb.The characters are one-dimensional, the plot was not developed, the themes are poorly executed, and the ending had almost no connection to the rest of the movie. Other people have mentioned the movie's preachiness; instead of developing the message over the course of the movie, the mother character gives multiple speeches to let the audience know exactly what we're supposed to think. What happened to ""show, don't tell""?Robbie and Gosling did what they could with the script that they had, making the movie enjoyable enough. The rest of the ensemble had no standouts, and the other Barbies were frustratingly identical in their one-dimensional performances.Speaking of Gosling, did anyone else feel like Ken had more character depth than Barbie? In the BARBIE movie? Don't get me wrong, I loved his performance, but it definitely felt like he upstaged Robbie's Barbie for a large part of the movie.Overall, it was enjoyable, but I wouldn't waste money on a theater ticket. Watch it when it comes out on streaming and form your own opinion.",Barbie
9.0,Masterpiece,atton-felipe,21 July 2023,"Nolan is back again in the game. Always using great shots, good actors, nagnificent performances and scenarios, making it ideal. The trama is good, it keeps you in the edge of your seat, nail bitting conversations, and helping with the memory on flashbacks to the characters with a lot of lastnames and not too many background for each (except Einstein), to improve the experience of the mlvie. Even with 3 hours long, it never felt like more than a 2 hour film, because it was so intense and you are so deep in the trama, that you dont see the time flow. Romantic scenes are short and precise, so it is a great overal movie to watch. Band reminds you to interstellar and Batman, so it is a great gesture. Psycho is intense with mind blowing scenes that leave you thinking on what could happen.Nolan, you are GREAT once more.",Oppenheimer
10.0,Changed me,sabrinahirleman,21 July 2023,"Barbie changed me for the better. It made me appreciate being a woman all over again, it made me appreciate my mother more and it made me more grateful to have 3 little girls. It'll make Barbie playtime more special and fun. It'll be a staple in my home and something that grows with me and my girls. It was funny, emotional, energetic and wholesome. Every time Barbie cried, I cried. Every time she laughed , I laughed. Growing up Barbie was my go to toy , it brought me comfort and fun. And as I had my girls it brings me joy to stand in the Barbie aisle as they pick out their favorite Barbie. Thank you so much for this movie. 💕",Barbie
10.0,The perfect tribute to Barbie!,thetreejuice,21 July 2023,"I'm a huge fan of Barbie, so when I heard there was a movie coming out, I was beyond excited & I certainly wasn't disappointed when I got to see it!The cast are incredible & all seem to bounce off of each other, the story was funny but also heartwarming at the same time, and the attention to detail was marvellous, in true Barbie fashion.One thing I really enjoyed was how it managed to pay tribute to so many different variations of Barbie, shout out to Weird Barbie! (We all had a weird Barbie!)Overall the film was truly a pleasure to watch & I just wish I could go to Barbie-Land, someone get me some Rollerblades please?",Barbie
8.0,Very Well Done,douglaseparry-67537,24 July 2023,"This was a tough one because I would consider myself a film nerd. I have been for 20+ years. So, was this film a high level of filmmaking? Yes. Was the acting in this film top notch. Yes! Was the writing, costume, set design, editing all good? Yes. I don't mind movies that are dialogue heavy. This was definitely that type. I had trouble giving this an 8, but I figured it did mostly everything great...however, just didn't captivate me like I was expecting. If I'm being honest, it felt like a 7.6 or so. Which I consider really good.The story kind of dragged on a little longer than I felt it needed. It wasn't particularly entertaining (Even though I like historical pieces and this subject matter) I just didn't get into it as much as I thought. It's like it's missing something and I haven't put my finger on it. Kind of reminds me of how I felt after the J. Edgar Hoover film.Anyways, it's worth a watch.",Oppenheimer
5.0,A disappointment,ricsokovi,22 July 2023,"I simply can't like this movie. It wants to say way too much and says way too little about way too many things. It can't decide what it wants to be, so it's not really anything - not just for the viewer, but for the creator. And that's a problem. It's not good as a biopic: there are serious historical flaws in the story, which irritated me. I'm a huge fan of John von Neumann... anyone, who knows who he was understands why I mention him. As a drama? The movie can't decide the centre of the drama. It's too weak as a spy-story, too weak as a political drama, too weak as a personal drama. Not one aspect is worked out to carry the film. The strongest aspect was how many times in american history the ""what you did 20 years ago is more important than who you become and what your expertese is"" ruined people's lives. Or at least was used as a political rethoric against opponents. And I appreciated that, hence the 5 points. As a moral/personal evolution the moral conflict isn't built up, the ""evolution of a scientist"" dies away halfway and doesn't really connect with the ""organizer scientist"". The ""science should or should not have moral boundaries"" isn't worked out and built up, just comes and goes without a purpose. The only detactable personal evolution is the ""man of future becomes the man of past"", but somehow that remains too weak in the end, too. So the movie falls apart and not even the brilliant actors and the massively impressive explosion scene can hold it together.I couldn't help feeling how Nolan this time couldn't feel the fine line of balance... that ""sometimes less is more"".",Oppenheimer
7.0,N,jasonvagner,23 July 2023,"Positives: Cillian Murphy is amazing, Robert Downey Jr really shows up, The B&W photography is beautifulWeaknesses: The analog Nolanisms are a distraction (Fincher contended with period-isms better in Manhunter using digital processes and CGI), Audio mix is muddled and hard on the dialogue, 70MM film stock is over-sold for a movie that largely takes plan indoors, the non-linear timeline gets a bit confusingBiggest problem: Nolan's work in this film is extremely derivative, 1st 1/3rd directly quotes T Malick and A Beautiful Mind, Last 1/3rd (the interrogations) is very Lumet, The internal conflict noisey white-out bits is very Villeneuve (but, done badly), The first kissing scene in the desert is poorly and distractingly blockedGreat story, amazing performances, but a strike against Nolan as an auteur. All the previously referenced directors, even the ones working recently, developed a coherently new thing for audiences. Nolan really fails that attempt in this movie. While sitting in the movie theater, I pretty quickly wished someone else had made this movieWorth seeing for the acting and the story, not as an accomplishment in film-making or directing.",Oppenheimer
10.0,Another Nolan Masterclass of a Film!,mattshipp-66815,21 July 2023,"First off, please please go see and support this film!Oppenheimer tells the real life story of J. Robert Oppenheimer and the many intricacies of his life throughout university and then leading to his work on the Manhattan Project. I will tell you right off I left the theater in awe and, looking back on it now, a little disconcerted with the last few scenes of the film. (Once you see, you'll understand) Christopher Nolan has once again simply outdone himself with this film, he is my favorite filmmaker working today and seems to be one of the only filmmakers to be given the budget to make massive films like Oppenheimer, Interstellar, Inception, Tenet, Dunkirk, and so many more to support going to the movies.The film is, yes, three hours long and very dialogue heavy but this three hour film went by with the snap of a finger. Nolan does a brilliant job of accelerating the pace of the film and it sort of traps you and locks you in place. Throughout watching the film thirty minutes of it was just gone, like it had evaporated. Nolan does a brilliant job editing his films to where there is little to no fat left around the edges and no extra baggage, every scene has its place.You will definitely, and I for one, will have to watch this film more than once as there is just so much too unpack with this film. The star power in this film alone is tremendous, the score is mesmerizing, the visual effects fantastic, the performances are enthralling, and Chris Nolan is at the top of his game!This film should and will get a lot of love and praise come awards season. Cillian Murphy and Robert Downey Jr. Shine in this film and their performances are one of, if not the, best of their respective careers. Christopher Nolan deserves at least nominations for Best Director, Best Adapted or Original Screenplay, and Best Picture at the Oscars, and he should definitely win his first Oscar this awards season. While Cillian Murphy deserves at least a nomination for Best Actor and Robert Downey Jr. Deserves a nomination for Best Supporting Actor at the Oscars as well. Both of them could win both with these performances easily.A truly tremendous film and one that requires multiple viewings to be truly appreciated!",Oppenheimer
10.0,"Nolan masterpiece, this is cinema",myhkhcq,23 July 2023,"One of the best movies that I have ever seen. Just amazing. Three hours of authentic Cinema.A great movie that keeps you glued to your seat from the beginning, telling us the story of a young physicist who will become transcendental in the history of the modern world. A 10 out of 10.Technically superlative, an outstanding photography and surround sound that immerses you completely in the story.Brilliant performance by Cillian Murphy, and also remarkable awesome cast. Great actors in every single shot.Nolan you did it again, maybe better than ever. Congratulations for such a masterpiece. I enjoyed it.",Oppenheimer
8.0,Barbie Is A Weirdly Fun Movie!,HabibieHakim123,19 July 2023,"8.5/10 While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.",Barbie
10.0,We are all Barbie,KristinaGeorgievaBG,26 July 2023,"Barbie it's not just a movie about some dolls and perfection. This movie says a lot about everything. In the first seconds of it I thought there wouldn't be something meaningful. I thought it would be some fun movie just to chill while you're watching it. But this movie is a lot more than just fun. With this movie we can see ourselves in it. It shows how powerful women are. But also how hard it is to be a woman. And not just that. Also our childhood. The barbieland is our childhood. Peaceful, enjoying life. But when it's our time to leave it, it's scary and new because that's the adult life. The finale scene shows us that to live is the most beautiful thing we can experience. And some people are stereotypical barbies who don't know how to live their life in the most human way. We are here to smile, cry and improve ourselves. But sometimes we get lost and need to find ourselves again. It's a cycle that we need to go through. This movie represents a lot of things not just one. And I think everyone who watches that film can find a different meaning.",Barbie
8.0,Dumb Fun,bmlchick,23 July 2023,"First, lower your expectations and second, this is not a children's movie. Lastly, don't take it seriously.Go in with those three things in mind and if you have any sense of humor, you will really enjoy this film.It's honestly really dumb fun, along the lines of Anchorman or Talladega Nights. No, it's probably not as good as either of those, but is along the same comedic line and it is really funny and charming.Margot Robbie and Ryan Gosling are both hysterical and do a great job in the movie. The entire theater laughed out loud through most of the movie. The supporting cast was spot on as well.There was a ton of reminiscing happening in the theater. You could hear countless women whispering ""I had that play set!"" Or ""I had that Barbie outfit."" That made the movie more enjoyable for many.Overall the movie was really good. In my opinion, the only misses were, every man in the movie was over the top stupid. No reason for that. And I believed the ending should have gone in a different direction, but I won't spoil it with my opinion.",Barbie
10.0,Nolan's Opus,MNjets2021,21 July 2023,"This is the film that cements Christopher Nolan as one of the best contemporary directors working as well as one of the best to ever make movies. From the moment the film starts, it hits the ground running and never lets up. It knows exactly what pace it wishes to set for three hours. There are even moments where you may not be 100% percent sure what is happening, but rest assured it all comes together. See it on the biggest screen you can find. I cannot wait to see this again because I'm sure there are parts that I didn't fully grasp. I might say this is one of the greatest films of all time easily one of the best of the past ten years or so. Go see it - now......",Oppenheimer
